Title,Source,PublishedAt,Description,URL,RegionSource,TaxonomyCode,RiskCategory,AffectedSupplier,ImpactedLocation,EstimatedSeverity
St. Louis-area Boeing workers back on strike after rejecting contract offer,Missouri Independent,2025-09-12 07:00:00,St. Louis-area Boeing workers back on strike after rejecting contract offer  Missouri Independent,https://news.google.com/rss/articles/CBMitAFBVV95cUxPajZacDZUeTdPdHhYWk90cXBoR04wcjVOOEFVd0JwX21jZHIxaUR2TFA1VXdrcE8wWUtPeGFDRm5qZ0VaMjJmQ0Y2ZlVFN0dLWW9lcUtxa1VEZ2xhdjBURnhfdXlPNy1ndFNaM1RwS2VidFFmUXBIU1Y3Q3JJTXdwaGcxVEFUUExsUE5tbUZSbDRna0VLSUwzclNlOEVCYmhtME5CVURGeGx3c3I1NlZVeVlSa3I?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Striking St. Louis Boeing union workers file federal labor law complaint,Missouri Independent,2025-10-16 07:00:00,Striking St. Louis Boeing union workers file federal labor law complaint  Missouri Independent,https://news.google.com/rss/articles/CBMisAFBVV95cUxOX2JsQktKVlVnZ0p3Wl9seWlJSlFFMXBUcXB4alBVN1JJRnhVTlkwMVF3amNJSUhTUTgxbWUyRTREdzJiUjY0dE80YnhZeFozd2x1aHBIZ1FGb0RCTTdFN3JSVC1TNEFCWTRvSF82d3FhWGFwdGMzVWpNaTJxUkJRdG1ERVIzeTU1VWNmVmhZaU1yZTZCWGNrOU8wX1kyYk9LTDNjX3paaHZOTVVsVnUyNg?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",2.5
"Boeing workers reject latest contract offer, extending strike at three Midwest plants",PBS,2025-09-12 07:00:00,"Boeing workers reject latest contract offer, extending strike at three Midwest plants  PBS",https://news.google.com/rss/articles/CBMivgFBVV95cUxORFhJNXA1Tm9xSkFHd1ozQmJacm14UFRNMndYRm1icm9VY0hoQ3NDVTJ2NjZxMVkyWV8td3JHSFlTOEpQelhjQkxYeEdJRlA5THFaS3RPWGZVaGJfMlEtc2I5dlB1V2hPbTJOZ1VtX3dkMVhGbjYxeDluNjVDY0JhTFR2SVVGMDJWYnFjMEhhWFRpdHlCTXFlTklZNFdHYUMyN3o2RDZrUWtKZy1pSnVFZERrdXRtZTJrS3BqM05B0gHDAUFVX3lxTFBWRnZfZTl2RFZ6aWJQd1pGUHFyMzVvcV9jTFlRV1UyblQ1YzdLLTR6Vm1tUVZNZFZUbXZlc1A1a0x4VWExY1VCVHlqQmZidUxkMFFNdC15MllVRmFkU1o2UGEwLXBSSi1Zb21HanJ2TkNCMEVHbzdfS1VxaHk5R2NCNkFZYnFUNDlua0pNOUNua05JREtYRHNFUDRGSmJhdThBaWtqOTJDM05rbTNVOU1Kb2s4NHBtR3NfZWU3YnEwLU5aUQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
"Latest round of Boeing contract negotiations ends with no deal, strike continues",STLPR,2025-10-22 07:00:00,"Latest round of Boeing contract negotiations ends with no deal, strike continues  STLPR",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNMzl5bWlqY2E4NnJqeHZHUFQweGRBM1l2Qm1aQnM5dDhoY2F1TC1ackVKSG9GR3RDTVNQbW01eTVILU1CZ1lsOEs1MWI4RUMxWFNLbnYxUEI1eG1ld0I0UVVrVlJRaDIwMUNjN1NWMXM1dmZKU3dMdnRuTW0xOVEwaFdEUkNWZWRQVzFQRTlhSXRWWS1DekpCaEszY21zMi1ZNXIxMWZrWTFadzQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Congressional Leaders Urge Boeing to Bargain in Good Faith Amid IAM Union Strike in St. Louis,IAM Union,2025-09-18 07:00:00,Congressional Leaders Urge Boeing to Bargain in Good Faith Amid IAM Union Strike in St. Louis  IAM Union,https://news.google.com/rss/articles/CBMixAFBVV95cUxOMFk2SUNJcUlxVDNoWXV1cElmRU9zYUtLNDNBWVNKTlB5eHYyRF9uM0kxbkRUSGVBT3NjVUlyVkU4U2lRbzBPYTNnYVRydzRUVnJpZUg4TkVPMW9rODJFQzZCa1hlS1RETFVoYzMzY2ZjS1Zhc2xFcElHNVNGa1JhN1RneVlURnJMQ0dBeGNZYUtGYTN3VE8tRkRjZEF4QVRmdThBZi1JOGtlZ0czdk5MNlBuLU9VYlVPUC1vbVY1aDdPM3JR?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Striking St. Louis-area Boeing workers to vote on new settlement offer Friday,Missouri Independent,2025-09-10 07:00:00,Striking St. Louis-area Boeing workers to vote on new settlement offer Friday  Missouri Independent,https://news.google.com/rss/articles/CBMivAFBVV95cUxPWElOWHlKVHAtUldFc3hyOUNjTE8zZThidEc5dFdLdGlCc3d0MlFQN0g4QXRzMHloQXk3dFNtM0FqLXRrWkcxZ2VEQTNSSHpydUFWbWM5b0dTMEFhN0cwMzg5NlUxeHVBeVJQRllrSlM4TUhoS0NRUnc1czNZYk5iS2RyOGNJZWd0b2pnLS14a0lLTFVxbDNnUGFIdzB2eWVBa1NJenpBdm5kZXVhNXRMNmJSVVhIaWJEOGhkNw?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",Boeing (Direct),"Renton, WA, US",2.5
Boeing to hire replacements for union workers on strike,STLPR,2025-09-04 07:00:00,Boeing to hire replacements for union workers on strike  STLPR,https://news.google.com/rss/articles/CBMiogFBVV95cUxPbGpaSEp6OHlfQUNyQWtkU2JvRVZyR3J5VFBxd2kwWGJxenhuWks1SnFvbkVrX1JxMVNWcGRlQ21NVmxwbEhTT05GZzBMTlBOZmlySDZsTGlpbXUyZkwta3otMnYwV3AzU0t3ZmttMjJjSWlOWEZ1bDY2WmFLYkdlWHZYSXAtTmVFX1c4bzRISy1xWk0xeDl5bXhMQlJOVXlOU0E?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
The Boeing strike is dragging on at its F-15 and Hornet factories in the Midwest,Business Insider,2025-10-26 07:00:00,The Boeing strike is dragging on at its F-15 and Hornet factories in the Midwest  Business Insider,https://news.google.com/rss/articles/CBMingFBVV95cUxPQlVkdFp5SUlQem1ZbUZGV25BYTAzM1FyQmhIbkVhUFg4Tjc1VVJlYUxmWWQxLWxSWUlDb25ScEd4OVBXMmtHYWx2cDAyUUE2Z0VrNVRrSl9POWpYUWo2OWtQNHpMMUpBM0lDalc4MmUxcHNjbGVNWG13M09od0ltTktpN1FxZTdlWVcwckhMMGlaU3U4R2RNQUY4QXpPUQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
"Amid strike, Boeing taking rare step of hiring permanent replacements for union workers",Breaking Defense,2025-09-25 07:00:00,"Amid strike, Boeing taking rare step of hiring permanent replacements for union workers  Breaking Defense",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPWUdDaTY3SUhwZm9DaXZqd2VGRW9QTFExLXF1UWJzcncxME9vdE1lOVJMVVV5QlFkU2ppVVJwNE9Ra09OMGl4M2U1RlVqLTZrSmN1b3hrU2gwTFhaOVdJV0dhYnZmS3lHUGtWLUFzTWdvVlRaVG9VeFhGQjRSY1l6Y3JOMERKa204RmtBeGpzeWwwbFhVZjlvWWRxa0k3OVBDLUEyTnhrXzVLVllTMkIwREtaOF9wWXRaeXRlYnFuano?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Boeing rejects union’s counteroffer; St. Louis strike continues,FOX 2,2025-10-28 07:00:00,Boeing rejects union’s counteroffer; St. Louis strike continues  FOX 2,https://news.google.com/rss/articles/CBMioAFBVV95cUxNT2c5eVMxYVdEYmtrTngtdlRFWWRQaVVacUNReGtJMEdWOG5MazdBSmhTRXpLd2pUdlRtREpQUVZtUmlyQjRuS3RoY3UzOHR2VDFwaW5QeVRCNjVleTVVZlRnM1VBWUtNRElUQkhUa0U2N2JFZGtMWGlaa181cUZXaGJDazUzOHExTEhFVzNST1U3ckJGWWUtek9paDlzOUpl0gGmAUFVX3lxTE5IcnRNYW9uV3VpMFRLNHE3ZXNobmZydHdRUDJYSjFGSXNseWpIZlN6OTUzLWhhQ2V1LWtGOUo5c2NGRVZpc216aVhCZFdmQWRmVmRfanZGdjJFdWgxZVhVUk5NU19WVHBSbk9XSTN4dVNoVDRKRjNUM1ZCX0pxQjVkUlloT3FwYjk5dXp3ajRIbzVHUzJybVk5bHo3b3BpZ3VPdzhFeGc?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
"Union rejects third Boeing St. Louis contract proposal, strike continues",STLPR,2025-09-12 07:00:00,"Union rejects third Boeing St. Louis contract proposal, strike continues  STLPR",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQZFc3MDQ5UEtBQWdubGVlOC1pYVlTUDIzdWlYaFRqN2ZCWFdQdDJHYlpGNGRJOG55SWtoeHBpUWd2OTRNY3h3OEJ6QjlYdmVRLWZZdmdEeEI4N1BHVmFkTHY3Zk1DVlM1dVVOZ21xYjNYUG9NSHR5ektya3hKTEFXNElnOUFNNHNBVTJfQURxcFFyd2dPa2RrVkpyWElXcjlPSVd3WGlfN1E2aVVVcnRROHBsaGRGa3ZF?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Boeing Downplays Strike's Impact On Key Defense Programs,Aviation Week,2025-10-29 07:00:00,Boeing Downplays Strike's Impact On Key Defense Programs  Aviation Week,https://news.google.com/rss/articles/CBMinwFBVV95cUxONFQtSUgxWDNVa3JQWnNDYi1taUduZmNyUzJ1ejg1TzRNdzhGdGRXRnMtN2g5cVpkNmt5bncwT2ZzTG9QWVNuWk9YVE93WDk0SkdSSVhKZjByN0wwNWpITERWd1NOYzd1Y3daMGM2ek9EUXdmVUE0V0VjU3FhMUdkZlpQQVJ6NFRpd2xPUHZBNTFLalo5QUhybGJNYTFVVnM?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Thousands of Boeing workers who build fighter jets just went on strike,PBS,2025-08-04 07:00:00,Thousands of Boeing workers who build fighter jets just went on strike  PBS,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNenNWRnRxVlVRcUZlTjd5TU1oeXhPRGRXMjJMZGhLNVdOVmI0ZW40WHVnQ1FnaS1fNkVWUHBkUk9ZaEg3dW5rRy1DNVY2YVVrcTd6dWNoa25ldGt6OTRfeGVwazRSSGkxM2ZMZDNJY2c4Nzc3anVrRGZERGZab19HWUF2eDNmRTRUaWRLaGVRS3NfRURUQ1RQUkNfN0t0Y3dOYzQ5UmUzd0hVZHPSAbABQVVfeXFMTjhRdUx4VF9ZbGZuM24ydFJUWUpQY01PLXNDaGMwQzJtQkR0LW5ISUljdFQxZ3pHNHlyeld1YlRaeGR5ZFNJc3QzbWQ4WXNXNk5KYUZtSV9paUxnd2wtN2V0T0hQZWhfV1JWZGMyWWZqQWVIV1NkNU1jZFFTSXliLTFGd3FuQl95Z3J2RGZzRFVyb01yd0JVQVRkWFdCSGx3YmR3amFIcXVtSVdDVzJ5aW4?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Boeing strike reaches Day 93,KSDK,2025-11-05 08:00:00,Boeing strike reaches Day 93  KSDK,https://news.google.com/rss/articles/CBMiogFBVV95cUxNREVaWmZCV09ObXRPS2ptc2NPcm9EdWVaOXo5SS14SmU3MTJNT0d5MFl0QzYxckd0RDJHbHY0YUxPYUhCUnpCeGFkRmwyQ3ZtNG5xanludldXM1BpRGpVZm9ReFBKWjJuYy1UbUswRFNpMzJIb3djS3lKalVjNzJ2MzljRkZvSldady11QXk4UkZSX2RUS3Jhal9JSDBQQ2ZvU2c?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
Boeing Workers to Vote Friday on Potential Strike Deal,Inkstick Media,2025-09-11 07:00:00,Boeing Workers to Vote Friday on Potential Strike Deal  Inkstick Media,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQcFRHVW1JRmFiSGdYUWlYZEFEUWlPeHlnbEhUTWZSUWF1c193ZG9qMkk1bm8waUhXVUlVcGJlNk1sZEhoUk1DVnkwbWJOU3h4ejhpNEVJQmo0bi14dGctTlU2QVJnaUJWR0pMZXNfc0laQVM4ZnBwM2FXcVpYMXBGVE50RDlRSm94?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",5.0
"United Automobile, Aerospace and Agricultural Implement Workers of America",UAW,2025-09-13 07:00:00,"United Automobile, Aerospace and Agricultural Implement Workers of America  UAW",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOcXFrMHl1SkxBUXdTMnhFTElXZXdSejd1SEV5NjFVYVd3dEJzNWFYY2JlbVNsSk01c3lRa3ZNaE91THFkaDlsQ2Fhem5XTThUN2R0RHozaU5ZY0NXTWJpSDN5SFNlTDFIVEQ0M3pKbExrOXlNZnN4TEdZNUVoenRhbHRrWDdtcTJTZkFxY3BHZFNWWlZJVmVKRHdtT1diWkRzbjY5LU5CXy1Ob09WeUd4V3VyY2pES3BlSWJMYkkxaWg4dVR0OG16TVlwb3VkT0xaVXpHUA?oc=5,United States (EN),CS,"Cyber & IT Security (Ransomware attacks, IT/system outages, data breaches at key suppliers)",Undetermined Supplier,"Toulouse, FR",2.5
GE Aerospace strike: Both sides return to negotiating table,FOX19 | Cincinnati,2025-09-10 07:00:00,GE Aerospace strike: Both sides return to negotiating table  FOX19 | Cincinnati,https://news.google.com/rss/articles/CBMikwFBVV95cUxORG9DcTUxeXRueDBSZXp4OThlM3haVERUYTJlQi12YlRfNmpxOGU0Nkp0WktESzkzV0UxbTRYa0I1SEY3VHpraktzS09FbnBuU195STNsS0NPNTUtYVdEU213YUZ6YnZyNlBVcU9rQmlNWjR0WHp2Y2o3ZEJoMGQybWtacXlxNnBSQWtBcy0xdGswOGvSAacBQVVfeXFMTXU2Zk54cXRjWHF5WmhNYzY5NkhVbjB1V05WYkMtMmhEeEFlRmFHVGczRWdORjNmQkxNeDFzV1djbXdKMG02N3VWZFdVd0VOZ21VUzJxYWhIN3ZVUlNlZnhwSUdCYUdXMEt0eHZGRi1qeXdLUDJ6TGtCMy1qV2ZZVkFPNkVsMkFiT2tnZnJfbWJIZ2FfeUZ4RlhVbnZLbzJmWHFIVzdZUEU?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
"GE Aerospace workers vote to ratify contract, ending Cincinnati-area strike",Manufacturing Dive,2025-09-22 07:00:00,"GE Aerospace workers vote to ratify contract, ending Cincinnati-area strike  Manufacturing Dive",https://news.google.com/rss/articles/CBMixAFBVV95cUxNV0pNMENBUTVLRXBCb01nbmVkZHpHMl9yNXUyR2NQVm1ibUxlN1pJUVF3NGZienlxbXZqUGJRQlo5d0QtaWd6eFN6SjMtNHRUdEszdGljTnVzMU9JRnJ2c1VFZkI3T1I3S2JycWtjOG9raGE4bGxGQVIxMDRvOTdkWG1HSFFOUkNYa2c1UTFWdkxwM29sT0tXT1FPUlkySHRTeHgzTV9hc0tHZjUzMllMQ3ZtSW9ZbGkxd2J3U3JIaHd2Tjdp?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
Firefighters battle fire at Spirit AeroSystems after lightning strike,KWCH,2025-09-23 07:00:00,Firefighters battle fire at Spirit AeroSystems after lightning strike  KWCH,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPa2JWV3IzQUxzZXpySlI4Umk4UnpfQTFER2Y3V2ZCcGNyUlQ3VHpSWV9kdTRqUDk4RXl4ckxRNGprak5jc2t1bE5ETmFxMXM1M0YzbmNJNDhkOUlNUXZPVGxvaGktNU8zU3lSRXdZNG8zRnlHZjBDUHBRa0JFRWthbnROQzB1ZnQ2VVZB0gGfAUFVX3lxTE02QUROd29YUFctS2dDVzBIb3c5aW1CUWs1MlVWMTNRU0tQZ1o1RmNpY0pqMmNnREh5eFJzazNHMXU0c1FYdHkxX2JDTnN6UUlEejdrNVBleGhWNEEtNXB5MDJBZllVdTNuUkVMTmNGb1kzc09wR21qTmpUNkVIUUdkdjRQeHpWNkVfSW15Z2ROSlpGOFl5eWNCVWFjUGotSQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Spirit AeroSystems,"Wichita, KS, US",5.0
UAW workers on strike after failed negotiations with GE Aerospace,Spectrum News,2025-08-28 07:00:00,UAW workers on strike after failed negotiations with GE Aerospace  Spectrum News,https://news.google.com/rss/articles/CBMihgFBVV95cUxNcDdJR2dyOEw4U0JpQkU2V05uc0NXUFE3b2dYTXMzYjYwck1Vcll3MUYzejJJOGpGU2pmSXNmR0RsSjlyaC1rTjFVWDlTSGNrNmQ4RmxhUm5sdTlaVUpLTk45bnllWjZNRk51bFN2UWJVeWdtOUt4UVUzTTc5a2Q1Q0EyRjBCdw?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
"UAW, GE Aerospace reach tentative agreement on new contract after strike",WLWT,2025-09-12 07:00:00,"UAW, GE Aerospace reach tentative agreement on new contract after strike  WLWT",https://news.google.com/rss/articles/CBMikAFBVV95cUxQTjFYYkIzYjc3X2lJZTVfUC1rQjc5RDJ4Y3ZVSHlxMnBJUFRIMngwSlpVT05BUXpqeXVjcnVqQTNpMDY3UlZZcThZeUJtbkdicFFPa2dZaWVmYmIxbVg2VEkzRURuNWRxd0NoVldnWnJlSDVnS3puXy1fc1BmeXcyanlYVldjeVlUMm1aZEViczU?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
'We're hearing a bunch of rumors': GE Aerospace strike hits 1 week with no end in sight,WKEF,2025-09-03 07:00:00,'We're hearing a bunch of rumors': GE Aerospace strike hits 1 week with no end in sight  WKEF,https://news.google.com/rss/articles/CBMiggNBVV95cUxOMU1MbjJIdVlHRFVuMkhQTU1IaEg5eHFtblpNNmpscG9SaGJpdWp0OTVHR3JRem5DNEZxSG9JbkxUUjFUM1NEVUp4TUNianZIQ2ZpWXRsOENUb3FWaE5SRXBMVHItU1hwWGpJZldYVWNYWEN1VUZ3WFJoWE5MdWVmNy1WRGE5LXhtcXhud3dKWUVxem1IRnVNRXdXNHNoQm1jcFh0R2FpNDNQaWV0ekgzWUdHcFMtZi04d1VrZjZwZ01fVkZUcjFCdjBKSmFYSktFSDRyQlRWQW9hZGsxZ2JBbVF0dFBJdW1WTm9DWkVvMHM4Y2Z3dmp0OEhZX0dfM2p2c0dSX3kwNzlvSnNVdXNVNkNwdDNHRFpIRmxZZ2Y0aTdMNk93UEhxVTF1SlUyWVl1UUxEelZUd2Jkb2FtNE9KcjZwQ1VWR0IxZWhzOGVDXzdtZnduVDNjUTRCbE5scUkxeWRYSV9TMzVnQ3Vqc0UxRWkwd05TZWlQTVBMVThsYlgxUQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
Lightning strike causes fire a Spirit AeroSystems building,KSN.com,2025-09-23 07:00:00,Lightning strike causes fire a Spirit AeroSystems building  KSN.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxOVGo1RzBWYVpXRXNqdXZNWGVlZ0E5Qm9OTldhZFdSSkZxWXBjUU5NV1ppN05fWFhNc0VqclRwbFVqY0NNRFQ3RkJMU2ttV2N2TWdHSDhlZnFpVkEzTUl5b01HQWFhUHFSQXFKeXVmcjFkdE02Nl9sc01RcWlMUUx3UWdOSmtmSndJbFdIeHVkaWpiRzF30gGaAUFVX3lxTE9tQkhpYTRHaHRMNWpCU0tfdk9RdVZBeHhubmk0MFJnalllZ0xlbVlFSzZuRmNZVmRJNXAyXzFmajlyby1DZ1V2U01CNXE4aVd4ZFBETGY5RDN6ODItSzcxOXlZQjdYMGptVlFFYWpTLWhrWU5Jb00yZDNWN01IdzI2M3Nlb1NpbFU5MGtTekxtdnVWNHd2cm9GdUE?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Spirit AeroSystems,"Wichita, KS, US",5.0
"UAW workers at GE Aerospace approve new contract, ending strike",WVXU,2025-09-19 07:00:00,"UAW workers at GE Aerospace approve new contract, ending strike  WVXU",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOcW5wZWJLN0ZXU3ZXOGxOWVdVckJMQ3htUFJIbGNSLWhoVmJNeV83dzJiT01RQ2k2Y215ZFdyTk5JSktKVVYxd2RHT1NmdzFobkM1QUVwdl9Jc0hSNGJEWm5acEQ4ZkpPUGhZMVBzQXFzMlpRNkJXVGpaS184UTdPSzBJekIyT0MzSTktcEV3Nkw4S09Sc1VadUYyQ3FLTERmZXMwVnRRT18?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
GE Aerospace Ends Strike: 600 Workers Reach Deal,Manufacturing.net,2025-09-23 07:00:00,GE Aerospace Ends Strike: 600 Workers Reach Deal  Manufacturing.net,https://news.google.com/rss/articles/CBMingFBVV95cUxOX01oQVUxXzVWRWtmb2RLRnJrV2VZcW9jLUdubVVmLUVkR2JpVlNpTl9fRTZWZUFnaUFUaHI5dlpJZkNsRm1yOUlWSEJKYWs0Z3V0NFdDOFNTRlI3N0xvX1NTc3R4NC0wS0dmTnEtTWZwS0FwQW1oR2N4UWdLVllDcWIxR0VCZnl4aEh3WDNCeW9VZ1IwZThTMm1xTFpJUQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
"UAW-backed GE Aerospace employees ratify new deal, return to work",The Business Journals,2025-09-20 07:00:00,"UAW-backed GE Aerospace employees ratify new deal, return to work  The Business Journals",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOLW9nUzZBa0J6eHA3OVNqcktKRE1IM0dlUFMtYnQ0WFZBeDNBdmxDZVF0QXRzOHNBUERRUlFzbW1Mb3VHSHk0QnVWN0tOMmI4UGpPR1ZBZzRfclZRX25Pb0hPRVl4UXo2OW9PV0pJZnBHY2FLWlpPc2NQOHBibnRDd3dMUEt2Z3J0SVZnUDUzNDdNM1JLcTN2cHFMM2RhZFIyYW1QcVd5dnVXdw?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",GE Aerospace,"Evendale, OH, US",2.5
A two-week strike at GE Aerospace has resulted in a temporary agreement.,Haber Aero,2025-09-15 07:00:00,A two-week strike at GE Aerospace has resulted in a temporary agreement.  Haber Aero,https://news.google.com/rss/articles/CBMiqgFBVV95cUxObzNjV3IyVkpOMFVMdTA0SGFTcDU0VVFkRFNKSmR0Q2V5RS0yOVpNVmN3N2RiejdmWThUbGJMaDk2OVVFV1VHb1BvYkxJaTZKWnlBR3A4QUhlbVNwYlpnNmdWdk1oVnc2dVM1SmJEQjgwbTZ0bkgtYkxMQVVhWGQxSVl0eVEzTUVDQ05SSDk0aVBId1h1SjRXUzBXNEszcThZWkM1SFVzbWRwQQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
HAL and GE Aerospace strike $1bn deal to supply engines for new Tejas Mk1A fighters,Aerospace Global News,2025-11-08 08:00:00,HAL and GE Aerospace strike $1bn deal to supply engines for new Tejas Mk1A fighters  Aerospace Global News,https://news.google.com/rss/articles/CBMifEFVX3lxTE9LS3d2MmNvbUxFQjBmc2RaNVhhc3IydGI2QWNnTFFQNW9rR1VlNHJ2ZldrTFppWFJ5X0dLQ3REYjFDM2N3WFhsVlpfeHNMdldXZTBuWVJZamRYY2tIQTlLRXNZWWlaT240S01QR2FCeTlDbTV0VHdINHBrRks?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
GE Aerospace strike may end after company and union reach 'tentative agreement',Cincinnati Enquirer,2025-09-13 07:00:00,GE Aerospace strike may end after company and union reach 'tentative agreement'  Cincinnati Enquirer,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOWWdWaFhEMUtQUjZYcmlZQjJOclpjX0VWQjkxdzBqYnBDSTR3dExua2xMenF5WGFaZmwyRTUzMkYyNnFPZ0ZUWHZMUnVXS05wT1RfM2RYaVMtRE9sUjFfQURyYVNRLXE3WURERXZ6WXBaUkxTcS1VdEJ4X19vN2QzY1dJbmd4WVBHZzFvdkIzV2txY0kzYlc3aEh6eno0b1RnOWdxX043c05IMnV6YThnNllxWjRNTnU5WmdjaFR1cWhoczA?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
"Striking UAW workers, GE Aerospace back at negotiation table as strike hits second week",WLWT,2025-09-10 07:00:00,"Striking UAW workers, GE Aerospace back at negotiation table as strike hits second week  WLWT",https://news.google.com/rss/articles/CBMilgFBVV95cUxNOXNSVDlZNjlmWXFhRF9acG9DcldnY0Y1U1k1WHotX2lWZHplcWVzbVFHUVZCbEtjYVVQTmVTeWdJdnNWNWV3RGpEQUxrZmtmazBoZFpWbngxZ0JtVUxwcjNNYlJKSWxIeEoyY2FWbnBHOWp2RnhmNzhPVjNKc1poR3dKQTRRRmZYaFNoSUdiX3BtcUozZnc?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
Over 600 Workers at GE Aerospace (GE)’s Facilities Go on Strike,Yahoo Finance,2025-09-04 07:00:00,Over 600 Workers at GE Aerospace (GE)’s Facilities Go on Strike  Yahoo Finance,https://news.google.com/rss/articles/CBMigAFBVV95cUxQVTd4V0tSOGZ0NGNCbkh1QUFOZVJoSU9QaUg2ZXl6NEp3czBfVXJEUFlBT1Zyd05UN1UxMVgtN0U3TXlGd2tqbFp3Z1hkZ0Q2cHY3cFF2X2FsRjc2OTZHVklYVVI0NG1CcTJyWnJTeUh5aEdRX1VSYlB0LWg3NmZyLQ?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",GE Aerospace,"Evendale, OH, US",5.0
